AAPL Pos,GOOG Pos,META Pos,AMZN Pos,Total Pos
3500.0,2500.0,2000.0,2000.0,10000.0
3491.379973832063,2506.1985799616814,1998.6704337709823,2004.2857142857144,10000.534701850442
3395.212806896021,2436.0419249408314,1921.555592487951,1948.0952380952378,9700.905562420041
3502.6937581774796,2477.4597092302492,1942.4962605949809,1977.1428571428573,9899.792585145566
3551.9895328253674,2530.4293925391635,1961.774970915739,2029.7619047619048,10073.955801042175
3561.9564380820434,2486.7575791727713,1946.4849592820344,1995.0,9990.198976536849
3648.6954513969054,2542.8265524625267,1990.3606448396213,2065.952380952381,10247.835029651435
3563.8420688062806,2525.3578271159695,1945.9863719461525,2028.3333333333335,10063.519601201737
3565.7276995305165,2511.833652654119,1902.6092737244473,2021.9047619047622,10002.075387813844
3623.3741245285914,2560.0135241744615,1984.8761841449227,2091.904761904762,10260.168594752737
3676.9799122604472,2569.593147751606,1930.3639687551938,2105.952380952381,10282.889409719628
3857.731085969368,2685.3938915812014,2020.774472328403,2180.4761904761904,10744.375640355163
3918.6100207804197,2700.608587850783,1996.842280206083,2202.142857142857,10818.203745980143
3892.2111906411146,2636.0870055223713,1906.4317766328734,2155.9523809523807,10590.68235374874
3829.446625105826,2622.2810774258987,1926.2090742895132,2121.1904761904766,10499.127253011715
3842.6460401754784,2647.0753972726247,1916.735914907761,2151.190476190476,10557.647828546342
3796.5827753405674,2680.8858334272513,1893.4685058999503,2106.190476190476,10477.127590858247
3849.649811436927,2741.7446185055787,1896.6262256938674,2101.1904761904766,10589.21113182685
3949.8576156391896,2813.8735489687815,2034.7349177330898,2166.904761904762,10965.370844245821
3981.643962133456,2840.921897892483,2052.351670267575,2241.190476190476,11116.108006483992
3995.112753020857,2853.6008114504675,2001.661957786272,2273.809523809524,11124.18504606712
3987.5702301239126,2858.39062323904,1962.772145587502,2298.571428571429,11107.304427521884
3802.7784191487717,2689.0566888312856,1819.1789928535816,2200.4761904761904,10511.49029130983
3884.9380435619173,2711.8787332356587,1807.8776799069303,2236.9047619047624,10641.59921860927
3989.725236665897,2749.9154739096134,1851.5871696858899,2224.0476190476193,10815.27549930902
4069.4604787193093,2784.289417333483,1865.3814193119495,2241.190476190476,10960.321791555216
4045.4860309397363,2742.308125774822,1852.0857570217715,2219.0476190476193,10858.92753278395
3987.0314784884163,2700.0450805815394,1825.8268239986705,2201.428571428571,10714.331954497196
4075.3867467097666,2755.550546602051,1862.2236995180322,2241.4285714285716,10934.589564258422
4060.032325098129,2775.273301025583,1852.2519528003988,2258.3333333333335,10945.890912257446
4008.0427922727617,2789.0792291220555,1881.834801396045,2312.3809523809523,10991.337775171814
4041.7147694912637,2781.4718809872647,1945.8201761675252,2355.714285714286,11124.72111236034
3994.3046255676127,2705.6801532739773,1898.2881834801397,2345.0,10943.27296232173
4032.555991687831,2725.4029076975094,1878.344690044873,2399.761904761905,11036.065494192118
3956.3226352651427,2653.273977234306,1859.2321755027424,2300.714285714286,10769.543073716477
3633.0716539675213,2462.5267665952892,1686.3885657304304,2050.952380952381,9832.939367245623
3757.7926575848523,2505.0715654231935,1603.290676416819,2142.3809523809527,10008.535851805818
3742.1688601554674,2497.7459709230247,1607.4455708824996,2155.476190476191,10002.836592437183
3727.6225659970746,2442.804012171757,1508.8914741565566,2166.190476190476,9845.508528515864
3741.0913568844758,2352.3610954581313,1477.6466677746387,2126.190476190476,9697.28959630772
3906.7574847995074,2453.2288966527667,1504.736579690876,2193.3333333333335,10058.056294476484
4058.1466943738933,2549.8703933280735,1582.183812531162,2304.52380952381,10494.724709756938
4130.60878934811,2667.0799053307787,1548.2798736912084,2439.047619047619,10785.016187417716
4195.258985607635,2721.176603178181,1648.6621239820508,2462.1428571428573,11027.240569910724
3900.5618409913022,2609.03865659867,1627.7214558750209,2641.904761904762,10779.226715369756
4023.1278380666504,2671.5879634847283,2157.5535981386074,2753.809523809524,11606.07892349951
4103.6712075733085,2956.4408880874566,2285.3581519029412,2871.4285714285716,12216.898818992278
4025.8215962441313,2901.2171757015662,2155.8916403523353,2852.857142857143,11935.787555155175
3967.097667975063,2859.2358841429054,2160.7113179325243,2840.952380952381,11827.997251002875
3862.579850688832,2832.469288853826,2185.9730762838626,2744.0476190476193,11625.069834874139
