Ticker,Date,LastPrice,Volume
AAP,2023-05-05,123.77,82.0
AES,2023-05-05,22.67,8358709.0
AFL,2023-05-05,67.59,2460813.0
APD,2023-05-05,296.7,10.0
ALK,2023-05-05,43.16,24.0
ALB,2023-05-05,179.7,501.0
ARE,2023-05-05,123.64,721529.0
LNT,2023-05-05,55.11,1649659.0
ALL,2023-05-05,115.73,200.0
AMD,2023-05-05,89.84,78399729.0
AEE,2023-05-05,90.47,2.0
AAL,2023-05-05,13.87,20607611.0
AEP,2023-05-05,92.11,3328657.0
AXP,2023-05-05,152.65,1327.0
AIG,2023-05-05,53.79,594.0
AMT,2023-05-05,196.75,80.0
AWK,2023-05-05,148.43,20.0
AMP,2023-05-05,291.18,708975.0
ABC,2023-05-05,167.99,1012871.0
AME,2023-05-05,145.02,717564.0
APH,2023-05-05,75.71,2294309.0
ADI,2023-05-05,183.39,3672124.0
AON,2023-05-05,328.4,1150386.0
APA,2023-05-05,33.22,7296915.0
AJG,2023-05-05,213.82,14.0
AIZ,2023-05-05,130.94,403036.0
ATO,2023-05-05,117.56,2.0
AZO,2023-05-05,2691.58,50.0
AVB,2023-05-05,179.75,5.0
AVY,2023-05-05,172.08,65.0
BKR,2023-05-05,28.22,7325725.0
BAC,2023-05-05,27.71,38989.0
BAX,2023-05-05,46.05,215.0
BDX,2023-05-05,253.66,6.0
WRB,2023-05-05,58.65,5.0
BBY,2023-05-05,73.57,1.0
BIO,2023-05-05,385.24,166.0
BLK,2023-05-05,644.48,6.0
BWA,2023-05-05,44.61,2.0
BXP,2023-05-05,51.93,15.0
BSX,2023-05-05,51.54,13.0
BMY,2023-05-05,68.14,1010.0
BRO,2023-05-05,65.31,326.0
CZR,2023-05-05,44.68,3892161.0
CPT,2023-05-05,110.35,129.0
CPB,2023-05-05,54.74,1464228.0
COF,2023-05-05,88.01,281.0
CAH,2023-05-05,83.2,5.0
KMX,2023-05-05,70.61,15.0
CCL,2023-05-05,10.01,74045.0
CAT,2023-05-05,215.09,224.0
CDW,2023-05-05,165.99,1088924.0
CNC,2023-05-05,68.39,10.0
CNP,2023-05-05,30.52,2936884.0
CRL,2023-05-05,191.25,498074.0
CVX,2023-05-05,160.21,551.0
CMG,2023-05-05,2028.21,93.0
CHD,2023-05-05,97.53,33.0
CFG,2023-05-05,26.44,5102.0
CLX,2023-05-05,169.6,9.0
CME,2023-05-05,185.13,984520.0
CMS,2023-05-05,61.98,1611538.0
CMA,2023-05-05,36.44,4406.0
CAG,2023-05-05,37.82,14.0
COP,2023-05-05,100.37,128.0
STZ,2023-05-05,223.44,9.0
CEG,2023-05-05,79.49,2359284.0
COO,2023-05-05,385.94,131482.0
GLW,2023-05-05,31.48,802.0
CCI,2023-05-05,118.5,3.0
CSX,2023-05-05,31.86,8863227.0
CMI,2023-05-05,226.38,12.0
CVS,2023-05-05,70.68,1718.0
DHI,2023-05-05,108.12,3.0
DHR,2023-05-05,242.44,65.0
DRI,2023-05-05,153.09,31.0
DVA,2023-05-05,88.47,3.0
DAL,2023-05-05,33.94,3556.0
DVN,2023-05-05,50.36,14694.0
DLR,2023-05-05,96.42,1.0
DFS,2023-05-05,95.96,111.0
DIS,2023-05-05,100.52,12766.0
DPZ,2023-05-05,311.11,452.0
DOV,2023-05-05,144.51,608684.0
DOW,2023-05-05,54.41,82.0
DTE,2023-05-05,113.36,823082.0
DUK,2023-05-05,99.36,77.0
DXC,2023-05-05,22.69,2038732.0
EMN,2023-05-05,80.95,6.0
ETN,2023-05-05,171.05,21.0
ECL,2023-05-05,173.67,3.0
EIX,2023-05-05,73.56,4.0
ELV,2023-05-05,464.47,800257.0
LLY,2023-05-05,427.81,1207.0
EMR,2023-05-05,84.4,474.0
ETR,2023-05-05,107.36,741667.0
EOG,2023-05-05,114.17,73.0
EQT,2023-05-05,32.35,2371.0
EFX,2023-05-05,200.11,1.0
EQR,2023-05-05,63.38,8.0
