0,1,2
CVX,2023-05-05,160.21
CMG,2023-05-05,2028.21
CHD,2023-05-05,97.53
CFG,2023-05-05,26.44
CLX,2023-05-05,169.6
CME,2023-05-05,185.13
CMS,2023-05-05,61.98
CMA,2023-05-05,36.44
CAG,2023-05-05,37.82
COP,2023-05-05,100.37
STZ,2023-05-05,223.44
CEG,2023-05-05,79.49
COO,2023-05-05,385.94
GLW,2023-05-05,31.48
CCI,2023-05-05,118.5
CSX,2023-05-05,31.86
CMI,2023-05-05,226.38
CVS,2023-05-05,70.68
DHI,2023-05-05,108.12
DHR,2023-05-05,242.44
DRI,2023-05-05,153.09
DVA,2023-05-05,88.47
DAL,2023-05-05,33.94
DVN,2023-05-05,50.36
DLR,2023-05-05,96.42
DFS,2023-05-05,95.96
DIS,2023-05-05,100.52
DPZ,2023-05-05,311.11
DOV,2023-05-05,144.51
DOW,2023-05-05,54.41
DTE,2023-05-05,113.36
DUK,2023-05-05,99.36
DXC,2023-05-05,22.69
EMN,2023-05-05,80.95
ETN,2023-05-05,171.05
ECL,2023-05-05,173.67
EIX,2023-05-05,73.56
ELV,2023-05-05,464.47
LLY,2023-05-05,427.81
EMR,2023-05-05,84.4
ETR,2023-05-05,107.36
EOG,2023-05-05,114.17
EQT,2023-05-05,32.35
EFX,2023-05-05,200.11
EQR,2023-05-05,63.38
ESS,2023-05-05,220.0
EXC,2023-05-05,42.85
EXR,2023-05-05,154.74
XOM,2023-05-05,108.68
FDS,2023-05-05,405.85
FRT,2023-05-05,96.34
FDX,2023-05-05,229.3
FIS,2023-05-05,55.75
FLT,2023-05-05,231.19
FMC,2023-05-05,113.49
FTV,2023-05-05,64.72
FOX,2023-05-05,29.39
BEN,2023-05-05,25.54
FCX,2023-05-05,36.47
GEN,2023-05-05,17.15
GIS,2023-05-05,89.81
GPC,2023-05-05,173.73
GPN,2023-05-05,104.78
HAL,2023-05-05,29.88
HIG,2023-05-05,69.73
HAS,2023-05-05,60.38
HCA,2023-05-05,278.06
HSY,2023-05-05,275.33
HES,2023-05-05,136.3
HPE,2023-05-05,14.11
HLT,2023-05-05,144.61
HON,2023-05-05,198.42
HRL,2023-05-05,41.2
HST,2023-05-05,17.76
HWM,2023-05-05,44.0
HPQ,2023-05-05,30.13
HUM,2023-05-05,535.02
HII,2023-05-05,197.51
IBM,2023-05-05,123.65
IEX,2023-05-05,210.93
ITW,2023-05-05,230.31
ICE,2023-05-05,108.31
IFF,2023-05-05,96.45
IPG,2023-05-05,35.59
IVZ,2023-05-05,16.57
IQV,2023-05-05,188.52
IRM,2023-05-05,56.39
JNJ,2023-05-05,162.68
JCI,2023-05-05,62.09
JPM,2023-05-05,136.74
KDP,2023-05-05,33.23
KEY,2023-05-05,9.83
KMB,2023-05-05,145.18
KIM,2023-05-05,18.81
KMI,2023-05-05,17.04
KHC,2023-05-05,41.32
LHX,2023-05-05,187.73
LVS,2023-05-05,61.65
LEN,2023-05-05,113.44
LNC,2023-05-05,20.46
LIN,2023-05-05,366.37
LYV,2023-05-05,77.16
LKQ,2023-05-05,57.07
LMT,2023-05-05,455.54
LOW,2023-05-05,205.81
LYB,2023-05-05,92.4
MTB,2023-05-05,118.58
MRO,2023-05-05,22.93
MPC,2023-05-05,106.9
MAR,2023-05-05,176.57
MMC,2023-05-05,179.36
MLM,2023-05-05,397.66
MAS,2023-05-05,53.45
MKC,2023-05-05,88.95
MCD,2023-05-05,296.6
MCK,2023-05-05,365.87
MDT,2023-05-05,90.06
MRK,2023-05-05,117.68
MET,2023-05-05,54.66
